,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très verte <eos>,16,verte,vert,14,M,P,verte,-10.606892,vert,-9.639788,0
1,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très bleue <eos>,16,bleue,bleu,14,M,P,bleue,-10.977484,bleu,-11.101423,1
2,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très noire <eos>,16,noire,noir,14,M,P,noire,-7.571157,noir,-8.962902,1
3,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très délicate <eos>,16,délicate,délicat,14,M,P,délicate,-7.0281086,délicat,-12.086168,1
4,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très pointue <eos>,16,pointue,pointu,14,M,P,pointue,-8.897537,pointu,-10.156867,1
5,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très ronde <eos>,16,ronde,rond,14,M,P,ronde,-9.893275,rond,-9.977658,1
6,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très froide <eos>,16,froide,froid,14,M,P,froide,-7.784156,froid,-10.371594,1
7,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très chaude <eos>,16,chaude,chaud,14,M,P,chaude,-6.864416,chaud,-10.478565,1
8,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très importante <eos>,16,importante,important,14,M,P,importante,-4.700797,important,-8.304972,1
9,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très courte <eos>,16,courte,court,14,M,P,courte,-4.610043,court,-7.499615,1
10,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très dure <eos>,16,dure,dur,14,M,P,dure,-6.5443788,dur,-7.172153,1
11,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très claire <eos>,16,claire,clair,14,M,P,claire,-2.450448,clair,-5.604601,1
12,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très intéressante <eos>,16,intéressante,intéressant,14,M,P,intéressante,-5.818586,intéressant,-8.550716,1
13,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très brillante <eos>,16,brillante,brillant,14,M,P,brillante,-4.887462,brillant,-8.365465,1
14,S_NOUN_11_ADJ_a,F,S,la gemme avec les bracelets près de moi que j' aime beaucoup n' est pas très compliquée <eos>,16,compliquée,compliqué,14,M,P,compliquée,-7.350829,compliqué,-8.5668,1
