,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_8_PASS_b,F,S,la gemme avec la chaise que j' aime beaucoup n' est probablement pas achetée <eos>,13,achetée,acheté,11,F,achetée,-9.314041,acheté,-12.337265,1
1,S_NOUN_8_PASS_b,F,S,la gemme avec la chaise que j' aime beaucoup n' est probablement pas brisée <eos>,13,brisée,brisé,11,F,brisée,-7.5282493,brisé,-11.527248,1
2,S_NOUN_8_PASS_b,F,S,la gemme avec la chaise que j' aime beaucoup n' est probablement pas cachée <eos>,13,cachée,caché,11,F,cachée,-7.8516846,caché,-10.5772295,1
3,S_NOUN_8_PASS_b,F,S,la gemme avec la chaise que j' aime beaucoup n' est probablement pas cassée <eos>,13,cassée,cassé,11,F,cassée,-6.837556,cassé,-11.004713,1
4,S_NOUN_8_PASS_b,F,S,la gemme avec la chaise que j' aime beaucoup n' est probablement pas couverte <eos>,13,couverte,couvert,11,F,couverte,-7.5902042,couvert,-11.027987,1
5,S_NOUN_8_PASS_b,F,S,la gemme avec la chaise que j' aime beaucoup n' est probablement pas déformée <eos>,13,déformée,déformé,11,F,déformée,-7.840892,déformé,-11.178567,1
6,S_NOUN_8_PASS_b,F,S,la gemme avec la chaise que j' aime beaucoup n' est probablement pas fixée <eos>,13,fixée,fixé,11,F,fixée,-6.058767,fixé,-9.011631,1
7,S_NOUN_8_PASS_b,F,S,la gemme avec la chaise que j' aime beaucoup n' est probablement pas jetée <eos>,13,jetée,jeté,11,F,jetée,-8.631037,jeté,-12.003682,1
8,S_NOUN_8_PASS_b,F,S,la gemme avec la chaise que j' aime beaucoup n' est probablement pas laissée <eos>,13,laissée,laissé,11,F,laissée,-8.159384,laissé,-10.300316,1
9,S_NOUN_8_PASS_b,F,S,la gemme avec la chaise que j' aime beaucoup n' est probablement pas ouverte <eos>,13,ouverte,ouvert,11,F,ouverte,-7.143217,ouvert,-11.310171,1
10,S_NOUN_8_PASS_b,F,S,la gemme avec la chaise que j' aime beaucoup n' est probablement pas perdue <eos>,13,perdue,perdu,11,F,perdue,-6.0993233,perdu,-10.3297205,1
11,S_NOUN_8_PASS_b,F,S,la gemme avec la chaise que j' aime beaucoup n' est probablement pas réparée <eos>,13,réparée,réparé,11,F,réparée,-10.0589905,réparé,-14.031074,1
12,S_NOUN_8_PASS_b,F,S,la gemme avec la chaise que j' aime beaucoup n' est probablement pas retirée <eos>,13,retirée,retiré,11,F,retirée,-8.379854,retiré,-11.114344,1
13,S_NOUN_8_PASS_b,F,S,la gemme avec la chaise que j' aime beaucoup n' est probablement pas tombée <eos>,13,tombée,tombé,11,F,tombée,-7.601767,tombé,-8.637957,1
14,S_NOUN_8_PASS_b,F,S,la gemme avec la chaise que j' aime beaucoup n' est probablement pas utilisée <eos>,13,utilisée,utilisé,11,F,utilisée,-4.4594717,utilisé,-6.8515253,1
15,S_NOUN_8_PASS_b,F,S,la gemme avec la poubelle que j' aime beaucoup n' est probablement pas achetée <eos>,13,achetée,acheté,11,F,achetée,-8.369047,acheté,-11.921638,1
16,S_NOUN_8_PASS_b,F,S,la gemme avec la poubelle que j' aime beaucoup n' est probablement pas brisée <eos>,13,brisée,brisé,11,F,brisée,-7.730315,brisé,-11.371648,1
17,S_NOUN_8_PASS_b,F,S,la gemme avec la poubelle que j' aime beaucoup n' est probablement pas cachée <eos>,13,cachée,caché,11,F,cachée,-7.0873594,caché,-9.6684675,1
18,S_NOUN_8_PASS_b,F,S,la gemme avec la poubelle que j' aime beaucoup n' est probablement pas cassée <eos>,13,cassée,cassé,11,F,cassée,-6.855795,cassé,-10.875112,1
19,S_NOUN_8_PASS_b,F,S,la gemme avec la poubelle que j' aime beaucoup n' est probablement pas couverte <eos>,13,couverte,couvert,11,F,couverte,-7.095334,couvert,-10.471365,1
20,S_NOUN_8_PASS_b,F,S,la gemme avec la poubelle que j' aime beaucoup n' est probablement pas déformée <eos>,13,déformée,déformé,11,F,déformée,-8.223193,déformé,-11.114621,1
21,S_NOUN_8_PASS_b,F,S,la gemme avec la poubelle que j' aime beaucoup n' est probablement pas fixée <eos>,13,fixée,fixé,11,F,fixée,-6.3283687,fixé,-9.358692,1
22,S_NOUN_8_PASS_b,F,S,la gemme avec la poubelle que j' aime beaucoup n' est probablement pas jetée <eos>,13,jetée,jeté,11,F,jetée,-8.326616,jeté,-11.647537,1
23,S_NOUN_8_PASS_b,F,S,la gemme avec la poubelle que j' aime beaucoup n' est probablement pas laissée <eos>,13,laissée,laissé,11,F,laissée,-7.8718667,laissé,-10.168005,1
24,S_NOUN_8_PASS_b,F,S,la gemme avec la poubelle que j' aime beaucoup n' est probablement pas ouverte <eos>,13,ouverte,ouvert,11,F,ouverte,-6.9403405,ouvert,-11.274797,1
25,S_NOUN_8_PASS_b,F,S,la gemme avec la poubelle que j' aime beaucoup n' est probablement pas perdue <eos>,13,perdue,perdu,11,F,perdue,-6.1286974,perdu,-10.32716,1
26,S_NOUN_8_PASS_b,F,S,la gemme avec la poubelle que j' aime beaucoup n' est probablement pas réparée <eos>,13,réparée,réparé,11,F,réparée,-9.744785,réparé,-12.84748,1
27,S_NOUN_8_PASS_b,F,S,la gemme avec la poubelle que j' aime beaucoup n' est probablement pas retirée <eos>,13,retirée,retiré,11,F,retirée,-8.6817,retiré,-11.356598,1
28,S_NOUN_8_PASS_b,F,S,la gemme avec la poubelle que j' aime beaucoup n' est probablement pas tombée <eos>,13,tombée,tombé,11,F,tombée,-6.772972,tombé,-8.165753,1
29,S_NOUN_8_PASS_b,F,S,la gemme avec la poubelle que j' aime beaucoup n' est probablement pas utilisée <eos>,13,utilisée,utilisé,11,F,utilisée,-4.801844,utilisé,-7.1407895,1
30,S_NOUN_8_PASS_b,F,S,la gemme avec la chemise que j' aime beaucoup n' est probablement pas achetée <eos>,13,achetée,acheté,11,F,achetée,-8.669473,acheté,-12.204517,1
31,S_NOUN_8_PASS_b,F,S,la gemme avec la chemise que j' aime beaucoup n' est probablement pas brisée <eos>,13,brisée,brisé,11,F,brisée,-7.967168,brisé,-11.729068,1
32,S_NOUN_8_PASS_b,F,S,la gemme avec la chemise que j' aime beaucoup n' est probablement pas cachée <eos>,13,cachée,caché,11,F,cachée,-7.8709016,caché,-10.7290745,1
33,S_NOUN_8_PASS_b,F,S,la gemme avec la chemise que j' aime beaucoup n' est probablement pas cassée <eos>,13,cassée,cassé,11,F,cassée,-7.204048,cassé,-10.761305,1
34,S_NOUN_8_PASS_b,F,S,la gemme avec la chemise que j' aime beaucoup n' est probablement pas couverte <eos>,13,couverte,couvert,11,F,couverte,-7.8144865,couvert,-10.9329195,1
35,S_NOUN_8_PASS_b,F,S,la gemme avec la chemise que j' aime beaucoup n' est probablement pas déformée <eos>,13,déformée,déformé,11,F,déformée,-7.8319044,déformé,-10.750413,1
36,S_NOUN_8_PASS_b,F,S,la gemme avec la chemise que j' aime beaucoup n' est probablement pas fixée <eos>,13,fixée,fixé,11,F,fixée,-6.795494,fixé,-9.385768,1
37,S_NOUN_8_PASS_b,F,S,la gemme avec la chemise que j' aime beaucoup n' est probablement pas jetée <eos>,13,jetée,jeté,11,F,jetée,-9.105514,jeté,-12.125967,1
38,S_NOUN_8_PASS_b,F,S,la gemme avec la chemise que j' aime beaucoup n' est probablement pas laissée <eos>,13,laissée,laissé,11,F,laissée,-8.275119,laissé,-10.247396,1
39,S_NOUN_8_PASS_b,F,S,la gemme avec la chemise que j' aime beaucoup n' est probablement pas ouverte <eos>,13,ouverte,ouvert,11,F,ouverte,-7.0935974,ouvert,-11.340178,1
40,S_NOUN_8_PASS_b,F,S,la gemme avec la chemise que j' aime beaucoup n' est probablement pas perdue <eos>,13,perdue,perdu,11,F,perdue,-6.617783,perdu,-10.205294,1
41,S_NOUN_8_PASS_b,F,S,la gemme avec la chemise que j' aime beaucoup n' est probablement pas réparée <eos>,13,réparée,réparé,11,F,réparée,-10.567316,réparé,-13.688061,1
42,S_NOUN_8_PASS_b,F,S,la gemme avec la chemise que j' aime beaucoup n' est probablement pas retirée <eos>,13,retirée,retiré,11,F,retirée,-8.938284,retiré,-10.878748,1
43,S_NOUN_8_PASS_b,F,S,la gemme avec la chemise que j' aime beaucoup n' est probablement pas tombée <eos>,13,tombée,tombé,11,F,tombée,-7.475787,tombé,-8.453582,1
44,S_NOUN_8_PASS_b,F,S,la gemme avec la chemise que j' aime beaucoup n' est probablement pas utilisée <eos>,13,utilisée,utilisé,11,F,utilisée,-4.7207103,utilisé,-6.9445596,1
45,S_NOUN_8_PASS_b,F,S,la gemme avec la recette que j' aime beaucoup n' est probablement pas achetée <eos>,13,achetée,acheté,11,F,achetée,-8.210522,acheté,-11.840726,1
46,S_NOUN_8_PASS_b,F,S,la gemme avec la recette que j' aime beaucoup n' est probablement pas brisée <eos>,13,brisée,brisé,11,F,brisée,-8.222147,brisé,-12.21721,1
47,S_NOUN_8_PASS_b,F,S,la gemme avec la recette que j' aime beaucoup n' est probablement pas cachée <eos>,13,cachée,caché,11,F,cachée,-7.7655687,caché,-10.54249,1
48,S_NOUN_8_PASS_b,F,S,la gemme avec la recette que j' aime beaucoup n' est probablement pas cassée <eos>,13,cassée,cassé,11,F,cassée,-7.218128,cassé,-10.999468,1
49,S_NOUN_8_PASS_b,F,S,la gemme avec la recette que j' aime beaucoup n' est probablement pas couverte <eos>,13,couverte,couvert,11,F,couverte,-7.956323,couvert,-11.366803,1
50,S_NOUN_8_PASS_b,F,S,la gemme avec la recette que j' aime beaucoup n' est probablement pas déformée <eos>,13,déformée,déformé,11,F,déformée,-8.199162,déformé,-11.98775,1
51,S_NOUN_8_PASS_b,F,S,la gemme avec la recette que j' aime beaucoup n' est probablement pas fixée <eos>,13,fixée,fixé,11,F,fixée,-6.568793,fixé,-9.838173,1
52,S_NOUN_8_PASS_b,F,S,la gemme avec la recette que j' aime beaucoup n' est probablement pas jetée <eos>,13,jetée,jeté,11,F,jetée,-8.361664,jeté,-11.897227,1
53,S_NOUN_8_PASS_b,F,S,la gemme avec la recette que j' aime beaucoup n' est probablement pas laissée <eos>,13,laissée,laissé,11,F,laissée,-7.7152343,laissé,-10.391071,1
54,S_NOUN_8_PASS_b,F,S,la gemme avec la recette que j' aime beaucoup n' est probablement pas ouverte <eos>,13,ouverte,ouvert,11,F,ouverte,-7.149663,ouvert,-11.36095,1
55,S_NOUN_8_PASS_b,F,S,la gemme avec la recette que j' aime beaucoup n' est probablement pas perdue <eos>,13,perdue,perdu,11,F,perdue,-6.449808,perdu,-10.38724,1
56,S_NOUN_8_PASS_b,F,S,la gemme avec la recette que j' aime beaucoup n' est probablement pas réparée <eos>,13,réparée,réparé,11,F,réparée,-10.723953,réparé,-13.838752,1
57,S_NOUN_8_PASS_b,F,S,la gemme avec la recette que j' aime beaucoup n' est probablement pas retirée <eos>,13,retirée,retiré,11,F,retirée,-8.652626,retiré,-11.021442,1
