,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_5_ADJ_b,F,P,les gemmes avec la gemme ne sont probablement pas très vertes <eos>,10,vertes,verts,8,F,S,vertes,-9.663159,verts,-11.913511,1
1,P_NOUN_5_ADJ_b,F,P,les gemmes avec la gemme ne sont probablement pas très bleues <eos>,10,bleues,bleus,8,F,S,bleues,-8.572717,bleus,-9.737779,1
2,P_NOUN_5_ADJ_b,F,P,les gemmes avec la gemme ne sont probablement pas très noires <eos>,10,noires,noirs,8,F,S,noires,-8.639337,noirs,-10.937905,1
3,P_NOUN_5_ADJ_b,F,P,les gemmes avec la gemme ne sont probablement pas très délicates <eos>,10,délicates,délicats,8,F,S,délicates,-7.4470887,délicats,-10.82284,1
4,P_NOUN_5_ADJ_b,F,P,les gemmes avec la gemme ne sont probablement pas très pointues <eos>,10,pointues,pointus,8,F,S,pointues,-8.240041,pointus,-11.352143,1
5,P_NOUN_5_ADJ_b,F,P,les gemmes avec la gemme ne sont probablement pas très rondes <eos>,10,rondes,ronds,8,F,S,rondes,-9.321295,ronds,-14.093547,1
6,P_NOUN_5_ADJ_b,F,P,les gemmes avec la gemme ne sont probablement pas très froides <eos>,10,froides,froids,8,F,S,froides,-7.863243,froids,-12.39012,1
7,P_NOUN_5_ADJ_b,F,P,les gemmes avec la gemme ne sont probablement pas très chaudes <eos>,10,chaudes,chauds,8,F,S,chaudes,-10.005031,chauds,-11.943407,1
8,P_NOUN_5_ADJ_b,F,P,les gemmes avec la gemme ne sont probablement pas très importantes <eos>,10,importantes,importants,8,F,S,importantes,-4.88249,importants,-9.087921,1
9,P_NOUN_5_ADJ_b,F,P,les gemmes avec la gemme ne sont probablement pas très courtes <eos>,10,courtes,courts,8,F,S,courtes,-6.698061,courts,-11.733613,1
10,P_NOUN_5_ADJ_b,F,P,les gemmes avec la gemme ne sont probablement pas très dures <eos>,10,dures,durs,8,F,S,dures,-5.4536867,durs,-9.502025,1
11,P_NOUN_5_ADJ_b,F,P,les gemmes avec la gemme ne sont probablement pas très claires <eos>,10,claires,clairs,8,F,S,claires,-4.099803,clairs,-8.238653,1
12,P_NOUN_5_ADJ_b,F,P,les gemmes avec la gemme ne sont probablement pas très intéressantes <eos>,10,intéressantes,intéressants,8,F,S,intéressantes,-5.2928715,intéressants,-9.766651,1
13,P_NOUN_5_ADJ_b,F,P,les gemmes avec la gemme ne sont probablement pas très brillantes <eos>,10,brillantes,brillants,8,F,S,brillantes,-6.1706157,brillants,-9.52121,1
