,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_10_ADJ_a,F,P,les gemmes avec la gemme qui étaient près de moi hier ne sont pas très vertes <eos>,15,vertes,verts,13,F,S,vertes,-8.955048,verts,-9.851112,1
1,P_NOUN_10_ADJ_a,F,P,les gemmes avec la gemme qui étaient près de moi hier ne sont pas très bleues <eos>,15,bleues,bleus,13,F,S,bleues,-8.854793,bleus,-10.731353,1
2,P_NOUN_10_ADJ_a,F,P,les gemmes avec la gemme qui étaient près de moi hier ne sont pas très noires <eos>,15,noires,noirs,13,F,S,noires,-7.8664894,noirs,-8.771315,1
3,P_NOUN_10_ADJ_a,F,P,les gemmes avec la gemme qui étaient près de moi hier ne sont pas très délicates <eos>,15,délicates,délicats,13,F,S,délicates,-8.977882,délicats,-10.382842,1
4,P_NOUN_10_ADJ_a,F,P,les gemmes avec la gemme qui étaient près de moi hier ne sont pas très pointues <eos>,15,pointues,pointus,13,F,S,pointues,-8.281639,pointus,-10.654743,1
5,P_NOUN_10_ADJ_a,F,P,les gemmes avec la gemme qui étaient près de moi hier ne sont pas très rondes <eos>,15,rondes,ronds,13,F,S,rondes,-11.686256,ronds,-11.957539,1
6,P_NOUN_10_ADJ_a,F,P,les gemmes avec la gemme qui étaient près de moi hier ne sont pas très froides <eos>,15,froides,froids,13,F,S,froides,-5.3340693,froids,-9.108078,1
7,P_NOUN_10_ADJ_a,F,P,les gemmes avec la gemme qui étaient près de moi hier ne sont pas très chaudes <eos>,15,chaudes,chauds,13,F,S,chaudes,-8.110219,chauds,-8.831093,1
8,P_NOUN_10_ADJ_a,F,P,les gemmes avec la gemme qui étaient près de moi hier ne sont pas très importantes <eos>,15,importantes,importants,13,F,S,importantes,-5.3715744,importants,-8.322951,1
9,P_NOUN_10_ADJ_a,F,P,les gemmes avec la gemme qui étaient près de moi hier ne sont pas très courtes <eos>,15,courtes,courts,13,F,S,courtes,-6.499014,courts,-8.952058,1
10,P_NOUN_10_ADJ_a,F,P,les gemmes avec la gemme qui étaient près de moi hier ne sont pas très dures <eos>,15,dures,durs,13,F,S,dures,-4.259574,durs,-6.667822,1
11,P_NOUN_10_ADJ_a,F,P,les gemmes avec la gemme qui étaient près de moi hier ne sont pas très claires <eos>,15,claires,clairs,13,F,S,claires,-4.645979,clairs,-6.2475796,1
12,P_NOUN_10_ADJ_a,F,P,les gemmes avec la gemme qui étaient près de moi hier ne sont pas très intéressantes <eos>,15,intéressantes,intéressants,13,F,S,intéressantes,-6.15303,intéressants,-8.021437,1
13,P_NOUN_10_ADJ_a,F,P,les gemmes avec la gemme qui étaient près de moi hier ne sont pas très brillantes <eos>,15,brillantes,brillants,13,F,S,brillantes,-4.606126,brillants,-6.317999,1
14,P_NOUN_10_ADJ_a,F,P,les gemmes avec la gemme qui étaient près de moi hier ne sont pas très compliquées <eos>,15,compliquées,compliqués,13,F,S,compliquées,-7.7765045,compliqués,-10.690481,1
15,P_NOUN_10_ADJ_a,F,P,les gemmes avec la chaise qui étaient près de moi hier ne sont pas très vertes <eos>,15,vertes,verts,13,F,S,vertes,-9.504039,verts,-10.5867,1
16,P_NOUN_10_ADJ_a,F,P,les gemmes avec la chaise qui étaient près de moi hier ne sont pas très bleues <eos>,15,bleues,bleus,13,F,S,bleues,-9.837628,bleus,-11.360196,1
17,P_NOUN_10_ADJ_a,F,P,les gemmes avec la chaise qui étaient près de moi hier ne sont pas très noires <eos>,15,noires,noirs,13,F,S,noires,-8.023226,noirs,-8.703394,1
18,P_NOUN_10_ADJ_a,F,P,les gemmes avec la chaise qui étaient près de moi hier ne sont pas très délicates <eos>,15,délicates,délicats,13,F,S,délicates,-9.058747,délicats,-10.216497,1
19,P_NOUN_10_ADJ_a,F,P,les gemmes avec la chaise qui étaient près de moi hier ne sont pas très pointues <eos>,15,pointues,pointus,13,F,S,pointues,-8.381452,pointus,-10.702818,1
20,P_NOUN_10_ADJ_a,F,P,les gemmes avec la chaise qui étaient près de moi hier ne sont pas très rondes <eos>,15,rondes,ronds,13,F,S,rondes,-11.27042,ronds,-11.267843,0
21,P_NOUN_10_ADJ_a,F,P,les gemmes avec la chaise qui étaient près de moi hier ne sont pas très froides <eos>,15,froides,froids,13,F,S,froides,-5.108472,froids,-8.890667,1
22,P_NOUN_10_ADJ_a,F,P,les gemmes avec la chaise qui étaient près de moi hier ne sont pas très chaudes <eos>,15,chaudes,chauds,13,F,S,chaudes,-8.150166,chauds,-8.914773,1
23,P_NOUN_10_ADJ_a,F,P,les gemmes avec la chaise qui étaient près de moi hier ne sont pas très importantes <eos>,15,importantes,importants,13,F,S,importantes,-5.2097797,importants,-7.6506786,1
24,P_NOUN_10_ADJ_a,F,P,les gemmes avec la chaise qui étaient près de moi hier ne sont pas très courtes <eos>,15,courtes,courts,13,F,S,courtes,-6.2417293,courts,-7.763539,1
25,P_NOUN_10_ADJ_a,F,P,les gemmes avec la chaise qui étaient près de moi hier ne sont pas très dures <eos>,15,dures,durs,13,F,S,dures,-5.4244995,durs,-6.7900887,1
26,P_NOUN_10_ADJ_a,F,P,les gemmes avec la chaise qui étaient près de moi hier ne sont pas très claires <eos>,15,claires,clairs,13,F,S,claires,-4.9419875,clairs,-6.565809,1
27,P_NOUN_10_ADJ_a,F,P,les gemmes avec la chaise qui étaient près de moi hier ne sont pas très intéressantes <eos>,15,intéressantes,intéressants,13,F,S,intéressantes,-6.3195972,intéressants,-7.896593,1
28,P_NOUN_10_ADJ_a,F,P,les gemmes avec la chaise qui étaient près de moi hier ne sont pas très brillantes <eos>,15,brillantes,brillants,13,F,S,brillantes,-5.4512377,brillants,-6.307412,1
29,P_NOUN_10_ADJ_a,F,P,les gemmes avec la chaise qui étaient près de moi hier ne sont pas très compliquées <eos>,15,compliquées,compliqués,13,F,S,compliquées,-7.632312,compliqués,-10.142822,1
