,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_10_ADJ_a,F,S,la gemme qui était près de moi hier n' est pas très verte . <eos>,12,verte,vert,10,verte,-9.225879,vert,-10.165722,1
1,S_NOUN_10_ADJ_a,F,S,la gemme qui était près de moi hier n' est pas très bleue . <eos>,12,bleue,bleu,10,bleue,-11.322642,bleu,-10.046482,0
2,S_NOUN_10_ADJ_a,F,S,la gemme qui était près de moi hier n' est pas très noire . <eos>,12,noire,noir,10,noire,-6.12741,noir,-9.945285,1
3,S_NOUN_10_ADJ_a,F,S,la gemme qui était près de moi hier n' est pas très délicate . <eos>,12,délicate,délicat,10,délicate,-8.122655,délicat,-11.290253,1
4,S_NOUN_10_ADJ_a,F,S,la gemme qui était près de moi hier n' est pas très pointue . <eos>,12,pointue,pointu,10,pointue,-10.876782,pointu,-13.013159,1
5,S_NOUN_10_ADJ_a,F,S,la gemme qui était près de moi hier n' est pas très ronde . <eos>,12,ronde,rond,10,ronde,-9.982903,rond,-12.976397,1
6,S_NOUN_10_ADJ_a,F,S,la gemme qui était près de moi hier n' est pas très froide . <eos>,12,froide,froid,10,froide,-7.273036,froid,-9.295066,1
7,S_NOUN_10_ADJ_a,F,S,la gemme qui était près de moi hier n' est pas très chaude . <eos>,12,chaude,chaud,10,chaude,-6.199583,chaud,-8.919121,1
8,S_NOUN_10_ADJ_a,F,S,la gemme qui était près de moi hier n' est pas très importante . <eos>,12,importante,important,10,importante,-4.517761,important,-8.372983,1
9,S_NOUN_10_ADJ_a,F,S,la gemme qui était près de moi hier n' est pas très courte . <eos>,12,courte,court,10,courte,-5.8989,court,-7.977585,1
10,S_NOUN_10_ADJ_a,F,S,la gemme qui était près de moi hier n' est pas très dure . <eos>,12,dure,dur,10,dure,-5.5186253,dur,-8.680646,1
11,S_NOUN_10_ADJ_a,F,S,la gemme qui était près de moi hier n' est pas très claire . <eos>,12,claire,clair,10,claire,-2.9455585,clair,-6.147813,1
12,S_NOUN_10_ADJ_a,F,S,la gemme qui était près de moi hier n' est pas très intéressante . <eos>,12,intéressante,intéressant,10,intéressante,-6.4587274,intéressant,-9.32614,1
13,S_NOUN_10_ADJ_a,F,S,la gemme qui était près de moi hier n' est pas très brillante . <eos>,12,brillante,brillant,10,brillante,-4.892715,brillant,-8.727015,1
14,S_NOUN_10_ADJ_a,F,S,la gemme qui était près de moi hier n' est pas très compliquée . <eos>,12,compliquée,compliqué,10,compliquée,-7.034425,compliqué,-8.728668,1
15,S_NOUN_10_ADJ_a,F,S,la chaise qui était près de moi hier n' est pas très verte . <eos>,12,verte,vert,10,verte,-9.037949,vert,-10.831609,1
