,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas achetée <eos>,14,achetée,acheté,12,M,achetée,-12.111187,acheté,-10.362751,0
1,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas brisée <eos>,14,brisée,brisé,12,M,brisée,-8.700913,brisé,-10.4342165,1
2,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas cachée <eos>,14,cachée,caché,12,M,cachée,-5.611973,caché,-7.9304657,1
3,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas cassée <eos>,14,cassée,cassé,12,M,cassée,-7.448615,cassé,-10.28663,1
4,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas couverte <eos>,14,couverte,couvert,12,M,couverte,-6.9877315,couvert,-9.554476,1
5,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas déformée <eos>,14,déformée,déformé,12,M,déformée,-9.779987,déformé,-11.285255,1
6,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas fixée <eos>,14,fixée,fixé,12,M,fixée,-8.011568,fixé,-9.847623,1
7,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas jetée <eos>,14,jetée,jeté,12,M,jetée,-8.000903,jeté,-10.422583,1
8,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas laissée <eos>,14,laissée,laissé,12,M,laissée,-8.218168,laissé,-9.169777,1
9,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas ouverte <eos>,14,ouverte,ouvert,12,M,ouverte,-7.195159,ouvert,-9.584177,1
10,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas perdue <eos>,14,perdue,perdu,12,M,perdue,-7.1244497,perdu,-8.331805,1
11,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas réparée <eos>,14,réparée,réparé,12,M,réparée,-11.113902,réparé,-11.985354,1
12,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas retirée <eos>,14,retirée,retiré,12,M,retirée,-9.347749,retiré,-10.769917,1
13,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas tombée <eos>,14,tombée,tombé,12,M,tombée,-6.1796503,tombé,-8.504435,1
14,S_NOUN_9_PASS_b,F,S,la gemme avec le bracelet qui était près de moi hier n' est pas utilisée <eos>,14,utilisée,utilisé,12,M,utilisée,-5.356783,utilisé,-7.9323254,1
15,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas achetée <eos>,14,achetée,acheté,12,M,achetée,-9.980587,acheté,-11.976208,1
16,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas brisée <eos>,14,brisée,brisé,12,M,brisée,-8.031966,brisé,-10.708655,1
17,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas cachée <eos>,14,cachée,caché,12,M,cachée,-5.762768,caché,-8.384016,1
18,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas cassée <eos>,14,cassée,cassé,12,M,cassée,-7.0697165,cassé,-10.328736,1
19,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas couverte <eos>,14,couverte,couvert,12,M,couverte,-6.644138,couvert,-9.978886,1
20,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas déformée <eos>,14,déformée,déformé,12,M,déformée,-8.821055,déformé,-11.047485,1
21,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas fixée <eos>,14,fixée,fixé,12,M,fixée,-7.626359,fixé,-9.753266,1
22,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas jetée <eos>,14,jetée,jeté,12,M,jetée,-8.323233,jeté,-11.062056,1
23,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas laissée <eos>,14,laissée,laissé,12,M,laissée,-8.112126,laissé,-9.500114,1
24,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas ouverte <eos>,14,ouverte,ouvert,12,M,ouverte,-6.504721,ouvert,-9.50602,1
25,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas perdue <eos>,14,perdue,perdu,12,M,perdue,-7.194434,perdu,-8.864655,1
26,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas réparée <eos>,14,réparée,réparé,12,M,réparée,-10.612789,réparé,-12.297916,1
27,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas retirée <eos>,14,retirée,retiré,12,M,retirée,-8.994723,retiré,-10.875322,1
28,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas tombée <eos>,14,tombée,tombé,12,M,tombée,-6.2148905,tombé,-8.576629,1
29,S_NOUN_9_PASS_b,F,S,la gemme avec le miroir qui était près de moi hier n' est pas utilisée <eos>,14,utilisée,utilisé,12,M,utilisée,-5.3455305,utilisé,-8.111545,1
30,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas achetée <eos>,14,achetée,acheté,12,M,achetée,-9.57119,acheté,-11.787444,1
31,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas brisée <eos>,14,brisée,brisé,12,M,brisée,-8.819218,brisé,-11.438856,1
32,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas cachée <eos>,14,cachée,caché,12,M,cachée,-6.878956,caché,-8.931124,1
33,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas cassée <eos>,14,cassée,cassé,12,M,cassée,-7.3461394,cassé,-10.598282,1
34,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas couverte <eos>,14,couverte,couvert,12,M,couverte,-7.2083387,couvert,-10.464531,1
35,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas déformée <eos>,14,déformée,déformé,12,M,déformée,-8.937944,déformé,-11.410516,1
36,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas fixée <eos>,14,fixée,fixé,12,M,fixée,-7.628543,fixé,-10.059062,1
37,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas jetée <eos>,14,jetée,jeté,12,M,jetée,-8.951273,jeté,-11.385595,1
38,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas laissée <eos>,14,laissée,laissé,12,M,laissée,-7.889143,laissé,-9.400244,1
39,S_NOUN_9_PASS_b,F,S,la gemme avec le crayon qui était près de moi hier n' est pas ouverte <eos>,14,ouverte,ouvert,12,M,ouverte,-7.200714,ouvert,-10.3694,1
