,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_11_PASS_a,F,S,la gemme avec la chaise près de moi que j' aime beaucoup n' est probablement pas achetée <eos>,16,achetée,acheté,14,F,achetée,-10.4100275,acheté,-11.517202,1
1,S_NOUN_11_PASS_a,F,S,la gemme avec la chaise près de moi que j' aime beaucoup n' est probablement pas brisée <eos>,16,brisée,brisé,14,F,brisée,-7.548559,brisé,-11.7416935,1
2,S_NOUN_11_PASS_a,F,S,la gemme avec la chaise près de moi que j' aime beaucoup n' est probablement pas cachée <eos>,16,cachée,caché,14,F,cachée,-8.377153,caché,-10.805571,1
3,S_NOUN_11_PASS_a,F,S,la gemme avec la chaise près de moi que j' aime beaucoup n' est probablement pas cassée <eos>,16,cassée,cassé,14,F,cassée,-8.644485,cassé,-10.549767,1
4,S_NOUN_11_PASS_a,F,S,la gemme avec la chaise près de moi que j' aime beaucoup n' est probablement pas couverte <eos>,16,couverte,couvert,14,F,couverte,-7.1091633,couvert,-10.299536,1
5,S_NOUN_11_PASS_a,F,S,la gemme avec la chaise près de moi que j' aime beaucoup n' est probablement pas déformée <eos>,16,déformée,déformé,14,F,déformée,-9.757239,déformé,-11.236558,1
6,S_NOUN_11_PASS_a,F,S,la gemme avec la chaise près de moi que j' aime beaucoup n' est probablement pas fixée <eos>,16,fixée,fixé,14,F,fixée,-7.7861705,fixé,-10.464403,1
7,S_NOUN_11_PASS_a,F,S,la gemme avec la chaise près de moi que j' aime beaucoup n' est probablement pas jetée <eos>,16,jetée,jeté,14,F,jetée,-8.769573,jeté,-12.427789,1
8,S_NOUN_11_PASS_a,F,S,la gemme avec la chaise près de moi que j' aime beaucoup n' est probablement pas laissée <eos>,16,laissée,laissé,14,F,laissée,-8.781656,laissé,-11.104311,1
9,S_NOUN_11_PASS_a,F,S,la gemme avec la chaise près de moi que j' aime beaucoup n' est probablement pas ouverte <eos>,16,ouverte,ouvert,14,F,ouverte,-7.6529045,ouvert,-10.614624,1
10,S_NOUN_11_PASS_a,F,S,la gemme avec la chaise près de moi que j' aime beaucoup n' est probablement pas perdue <eos>,16,perdue,perdu,14,F,perdue,-6.4808884,perdu,-9.55339,1
11,S_NOUN_11_PASS_a,F,S,la gemme avec la chaise près de moi que j' aime beaucoup n' est probablement pas réparée <eos>,16,réparée,réparé,14,F,réparée,-10.511091,réparé,-13.178766,1
